,City,Cloudiness,Country,Latitude,Longitude,Humidity,Max Temp,Wind Speed
306,antofagasta,31.0,CL,-23.65,-70.4,76.0,12.6,0.85
307,krasnovishersk,100.0,RU,60.4078,57.082,57.0,20.52,2.64
308,balod,100.0,IN,20.73,81.2047,60.0,31.69,1.09
309,paamiut,100.0,GL,61.994,-49.6678,83.0,5.85,1.55
310,broome,1.0,AU,42.2506,-75.833,88.0,14.21,2.57
311,husavik,1.0,IS,66.0449,-17.3389,76.0,13.7,0.39
312,toamasina,13.0,MG,-18.1667,49.3833,67.0,23.34,2.49
313,salto,1.0,UY,-31.3833,-57.9667,96.0,7.15,1.34
314,vila franca do campo,99.0,PT,37.7167,-25.4333,78.0,19.23,3.22
315,saint anthony,1.0,CA,45.0205,-93.218,90.0,23.18,1.34
316,keflavik,90.0,IS,64.0049,-22.5624,100.0,13.62,6.69
317,yanam,100.0,IN,16.7333,82.2167,90.0,27.22,5.2
318,porto novo,99.0,CV,6.4965,2.6036,70.0,26.12,3.23
319,fairbanks,75.0,US,64.8378,-147.7164,52.0,22.0,2.57
320,vanimo,90.0,PG,-2.6741,141.3028,78.0,28.13,2.51
321,pocone,0.0,BR,-16.2567,-56.6228,33.0,16.91,1.4
322,bharatpur,92.0,NP,27.2167,77.4833,68.0,30.36,4.86
323,vestmannaeyjar,100.0,IS,63.4427,-20.2734,94.0,11.82,3.62
324,ritchie,38.0,ZA,-29.038,24.6028,62.0,4.56,6.06
325,nanakuli,1.0,US,21.3906,-158.1547,69.0,25.97,2.57
326,port macquarie,4.0,AU,-31.4333,152.9167,79.0,11.98,2.95
327,labuhan,43.0,ID,-6.8844,112.2051,63.0,30.0,5.06
328,cajabamba,8.0,PE,-7.6167,-78.05,84.0,8.14,1.8
329,nantucket,0.0,US,41.2835,-70.0995,88.0,19.98,7.89
330,kenai,90.0,US,60.5544,-151.2583,96.0,13.35,3.6
331,aksarka,91.0,RU,66.5606,67.7975,42.0,16.69,8.49
332,hambantota,100.0,LK,6.1241,81.1185,62.0,30.65,11.3
333,calama,0.0,CL,-22.4667,-68.9333,12.0,8.27,9.77
334,ribas do rio pardo,12.0,BR,-20.4431,-53.7592,29.0,13.19,1.66
335,noumea,1.0,NC,-22.2763,166.4572,76.0,19.99,4.39
336,bereda,100.0,SO,43.2686,-7.5406,100.0,18.01,0.21
337,sorong,100.0,ID,-0.8833,131.25,82.0,26.14,7.37
338,tripoli,0.0,LY,32.8752,13.1875,62.0,26.82,1.38
339,tchibanga,74.0,GA,-2.85,11.0333,66.0,23.97,0.72
340,lisburn,91.0,GB,54.5234,-6.0353,64.0,23.12,2.06
341,san quintin,100.0,MX,30.4833,-115.95,86.0,20.78,3.22
343,kulhudhuffushi,100.0,MV,6.6221,73.07,77.0,28.18,9.24
344,kahului,1.0,US,20.8947,-156.47,83.0,24.59,8.23
345,sambava,1.0,MG,-14.2667,50.1667,61.0,24.63,6.46
346,honiara,95.0,SB,-9.4333,159.95,90.0,25.71,4.04
347,ruston,2.0,US,32.5232,-92.6379,94.0,23.83,0.77
348,fryanovo,1.0,RU,56.1333,38.45,42.0,20.69,4.15
350,poum,0.0,NC,-20.2333,164.0167,72.0,21.95,5.67
351,bubaque,50.0,GW,11.2833,-15.8333,81.0,26.87,4.99
352,svetlaya,100.0,RU,46.5389,138.3297,83.0,23.44,4.06
353,caravelas,23.0,BR,-17.7125,-39.2481,84.0,19.3,0.89
